1:1,1:1
1:N,1:N
API Configuration,Konfigurasi API
API Key / Bearer Token,Kunci API / Token Pembawa
API Password,Kata Sandi API
API Token,API Token
API Username,Nama Pengguna API
Above average,Di atas rata-rata
Accepted,Diterima
Accepted At,Diterima pada
Access,Mengakses
Account,Akun
Action if table exists,Tindakan jika tabel ada
Active,Aktif
Add,Tambahkan
Add Data Source,Tambahkan Sumber Data
Add Filter,Tambah Filter
Add New Column,Tambahkan Kolom Baru
Add Operation,Tambahkan Operasi
Add a new column based on existing columns,Tambahkan kolom baru berdasarkan kolom yang ada
Add column,Tambahkan kolom
Aggregation,Pengumpulan
Aggregation Condition,Kondisi Agregasi
Alert Created,Peringatan Dibuat
Alert Disabled,Peringatan Dinonaktifkan
Alert Enabled,Peringatan Diaktifkan
Alert Name,Nama Peringatan
Alert Sent,Peringatan Terkirim
Alert Updated,Peringatan Diperbarui
Alert sent,Peringatan terkirim
Alerts,Peringatan
Allow Subquery,Izinkan Subkueri
Allow Table Import,Izinkan Impor Tabel
Allowed Origins,Asal yang Diizinkan
Alternate,Bergantian
Amber,Amber
Amended From,Diamendemen Dari
Anyone in the organization can view,Siapa pun di organisasi dapat melihat
Anyone with the link can view,Siapa pun yang memiliki tautan dapat melihatnya
Append,Menambahkan
Append Rows,Tambahkan Baris
Append Table,Tambahkan Tabel
Append this table with another table or query,Tambahkan tabel ini dengan tabel atau kueri lain
Apply Filters,Terapkan Filter
Apply User Permissions,Terapkan Izin Pengguna
Apply a custom operation using python script,Terapkan operasi khusus menggunakan skrip python
Are you sure you want to log out?,Apakah Anda yakin ingin logout?
Are you sure you want to login to your Frappe Cloud dashboard?,Apakah Anda yakin ingin masuk ke dasbor GARP Cloud Anda?
Authentication Type,Jenis Otentikasi
Auto Execute Query,Eksekusi Otomatis Kueri
Automatically arrange cards vertically to fill empty spaces,Secara otomatis menyusun kartu secara vertikal untuk mengisi ruang kosong
Average of...,Rata-rata dari...
Base URL,URL Dasar
Basic Authentication,Otentikasi Dasar
Batch Size,Ukuran Batch
Before Import Script,Sebelum Impor Skrip
Below average,Di bawah rata-rata
BigQuery,BigQuery
BigQuery Configuration,Konfigurasi BigQuery
BigQuery Dataset ID,ID Set Data BigQuery
BigQuery Project ID,ID Proyek BigQuery
BigQuery Service Account Key (JSON),Kunci Akun Layanan BigQuery (JSON)
Bottom,Bawah
Bottom N percent,N persen terbawah
Bottom N values,Nilai N terbawah
Bulk Enqueue Import Job,Pekerjaan Impor Enqueue Massal
Bulk Enqueue Progress,Kemajuan Entri Massal
CSV,CSV
Cache Query Results For (Minutes),Hasil Kueri Cache Untuk (Menit)
Can Edit,Dapat Mengedit
Can View,Dapat Melihat
Cancel,Batalkan
Cardinality,Kardinalitas
Channel,Kanal
Chart,Bagan
Chart Type,Jenis bagan
Charts,Bagan
Check once a month,Periksa sebulan sekali
Check once a week,Periksa seminggu sekali
Check once an hour,Periksa satu jam sekali
Choose Columns,Pilih Kolom
Clear,Bersih
ClickHouse,ClickHouse
Close,Tutup
Collapse,Jatuh
Color,Warna
Color Scale,Skala Warna
Column,Kolom
Columns,Kolom
Comma seperated URLs to whitelist for embedding charts & dashboards,URL yang dipisahkan koma ke daftar putih untuk menyematkan bagan & dasbor
Compact Layout,Tata Letak Kompak
Completed,Selesai
Condition,Kondisi
Config,Konfigurasi
Confirm,Menegaskan
Connect,Menghubungkan
Connect to ClickHouse,Hubungkan ke ClickHouse
Connect to ClickHouse database,Hubungkan ke basis data ClickHouse
Connect to DuckDB,Hubungkan ke DuckDB
Connect to DuckDB database,Hubungkan ke basis data DuckDB
Connect to MariaDB,Hubungkan ke MariaDB
Connect to MariaDB database,Hubungkan ke basis data MariaDB
Connect to PostgreSQL,Hubungkan ke PostgreSQL
Connect to PostgreSQL database,Hubungkan ke basis data PostgreSQL
Connection String,Rangkaian Koneksi
Content,Konten
Continue,Terus
Copy JSON,Salin JSON
Copy Query,Salin Kueri
Count of...,Hitungan...
Create,Buat
Create Alert,Buat Peringatan
Create Measure,Buat Ukuran
Create Team,Buat Tim
Create a dashboard in your workbook to view it here.,Buat dasbor di buku kerja Anda untuk melihatnya di sini.
Created,Dibuat
Created By,Dibuat Oleh
Creation,Penciptaan
Cron,Cron
Cron Format,Format Cron
Cron expression to schedule the script. Note: The scheduler checks for jobs every hour.,Ekspresi cron untuk menjadwalkan skrip. Catatan: Penjadwal memeriksa pekerjaan setiap jam.
CumulativeSum,Jumlah Kumulatif
Custom Condition,Kondisi Kustom
Custom Headers,Header Kustom
Custom Join Condition,Kondisi Gabung Khusus
Custom Operation,Operasi Kustom
Custom headers for API requests (non-sensitive data only),Header khusus untuk permintaan API (hanya data non-sensitif)
Daily,Sehari-hari
Dashboard Access Updated,Akses Dasbor Diperbarui
Dashboards,Dasbor
Data Backup,Cadangan Data
Data Query,Kueri Data
Data Source,Sumber Data
Data Sources,Sumber Data
Data Sources | Insights,Sumber Data | Wawasan
Data Store,Penyimpanan Data
Data Type,Tipe Data
Database,Basis data
Database Name,Nama Basis Data
Database Type,Tipe Basis Data
Date,Tanggal
Date Rules,Aturan Tanggal
Datetime,Tanggal dan Waktu
Decimal,Desimal
Default Value,Nilai Bawaan
Delete,Hapus
Demo Data Ready,Data Demo Siap
Disable Alert,Nonaktifkan Peringatan
Disabled,Dinonaktifkan
Documentation,Dokumentasi
Done,Selesai
Draft,Draf
Drill Down,Telusuri
Drop Duplicates,Jatuhkan Duplikat
DuckDB,DuckDB
Duplicate,Duplikat
Duplicate Chart,Bagan Duplikat
Duplicate Query,Kueri Duplikat
Duration (Seconds),Durasi (Detik)
Edit,Sunting
Edit Filter,Sunting Filter
Edit Text,Sunting Teks
Email,Surel
Email Sent At,Email Dikirim Pada
Empty - Click 'Add Filter' to add a filter,Kosong - Klik 'Tambahkan Filter' untuk menambahkan filter
Enable Alert,Aktifkan Peringatan
Enable Data Store,Aktifkan Penyimpanan Data
Enable Permissions,Aktifkan Izin
Enable Stored Procedure Execution,Aktifkan Eksekusi Prosedur Tersimpan
Enabled,Diaktifkan
Ended At,Selesai pada
Enqueue,Entri
Enter filename,Masukkan nama file
Enter filter label...,Masukkan label filter...
Enter text,Masukkan teks
Enter the URL of the DuckDB file,Masukkan URL file DuckDB
Enter your text content here...,Masukkan konten teks Anda di sini...
Error,Kesalahan
Excel,Excel
Execute,Menjalankan
Execution Failed,Eksekusi Gagal
Execution Successful,Eksekusi Berhasil
Execution Time (seconds),Waktu Eksekusi (detik)
Expand,Memperluas
Expired,Kedaluwarsa
Export,Ekspor
Export Data,Ekspor Data
Export Format,Format Ekspor
Export as PNG,Ekspor sebagai PNG
Expression,Ekspresi
Fail,Gagal
Failed,Gagal
Failed to format SQL,Gagal memformat SQL
Failed to import table,Gagal mengimpor tabel
Failed to process uploaded file,Gagal memproses file yang diunggah
Failed to setup demo data,Gagal menyiapkan data demo
Favorites,Favorit
Fetched from cache,Diambil dari cache
File URL,URL File
Filename,Nama file
Filter,Menyaring
Filter Icon,Ikon Penyaring
Filter Rows,Filter Baris
Filter rows based on columns or expressions,Filter baris berdasarkan kolom atau ekspresi
Filters,Filter
Fiscal Year Start,Awal Tahun Anggaran
Folder and item must belong to the same workbook,Folder dan item harus berada dalam buku kerja yang sama
Force Refresh,Paksa Penyegaran
Force Run,Paksa Jalankan
Foreign Key,Kunci Asing
Foreign Table,Meja Asing
Foreign Table Label,Label Tabel Asing
Format Option,Opsi Format
Format SQL,Memformat SQL
Frappe Insights,GARP Data Studio
Frequency,Frekuensi
Friday,Jumat
General,Umum
Generated SQL,SQL yang dihasilkan
Green,Hijau
Green-Red,Hijau-Merah
Group & Summarize,Kelompokkan & Ringkas
Group rows by columns and summarize the data,Kelompokkan baris demi kolom dan rangkum datanya
HTTP Headers,Header HTTP
